model,expr,regime,vol_target,multiplicity,n_months,mean_ann_pct,sharpe,t,p,by_pass,aux_tested,aux_pass,full_survivor,alpha6_t
gpt-4-0613,+1*AbnormalAccruals + -0.5*ShortInterest,MKT_TRAILING_12M_UP,true,1,32,-4.998,-0.429,-0.7,0.75557,false,1,0,false,-0.62
gpt-4-0613,+0.5*EarningsSurprise + +1*RD,MKT_TRAILING_12M_UP,true,1,32,-5.776,-0.593,-0.968,0.8298,false,2,1,false,-0.419
gpt-4-0613,-1*Leverage + +1*ShortInterest,MKT_TRAILING_12M_DOWN,true,1,32,0.75,0.057,0.093,0.46338,false,0,0,false,1.18
gpt-4-0613,+1*AssetGrowth + -0.5*IdioVol3F,TERM_SPREAD_POSITIVE,true,1,32,-1.121,-0.326,-0.533,0.70097,false,2,0,false,0.605
gpt-4-0613,+1*AdExp + -0.5*tang,MKT_TRAILING_12M_UP,true,1,32,-5.107,-0.577,-0.942,0.82327,false,2,1,false,-0.958
gpt-4-0613,-0.5*BidAskSpread + +1*GP,VIX_BELOW_TRAILING_MEDIAN,true,1,32,16.24,1.18,1.927,0.03162,false,2,1,false,1.368
gpt-4-0613,+1*Cash + -1*Price,MKT_TRAILING_12M_DOWN,true,1,32,14.513,1.231,2.01,0.02662,false,0,0,false,2.314
gpt-4-0613,+1*AOP + -0.5*ReturnSkew,TERM_SPREAD_POSITIVE,true,1,32,1.095,0.214,0.35,0.36449,false,2,1,false,0.272
gpt-4-0613,+1*ChAssetTurnover + -1*IdioVolAHT,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,2.326,0.382,0.624,0.26873,false,2,1,false,0.497
gpt-4-0613,+1*AssetGrowth + +1*Beta,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,3.335,0.566,0.924,0.18125,false,2,2,false,1.012
gpt-4-0613,+1*BidAskSpread + -1*STreversal + +1*VolSD,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-18.496,-1.167,-1.905,0.96695,false,2,1,false,-0.772
gpt-4-0613,-1*EarningsSurprise + +1*RD,MKT_TRAILING_12M_UP,true,1,32,-8.456,-1.047,-1.71,0.95135,false,0,0,false,-0.882
gpt-4-0613,+1*BM + +1*Herf,TERM_SPREAD_POSITIVE,true,1,32,-0.349,-0.157,-0.257,0.60059,false,2,2,false,0.954
gpt-4-0613,+1*IntanCFP + -1*ShortInterest,TERM_SPREAD_NEGATIVE,true,1,32,-5.397,-0.318,-0.519,0.69636,false,2,0,false,-0.245
gpt-4-0613,+1*Mom6m + +1*hire,MKT_TRAILING_12M_DOWN,true,1,32,3.396,0.187,0.306,0.38094,false,2,2,false,-0.044
gpt-4-0613,+1*CitationsRD + -1*ShareIss5Y,NONE,true,1,32,-16.361,-1.611,-2.63,0.99341,false,1,1,false,-1.908
gpt-4-0613,+1*ChNNCOA + -1*TotalAccruals,MKT_TRAILING_12M_UP,true,1,32,0.889,0.103,0.168,0.43375,false,1,1,false,-0.348
gpt-4-0613,+0.5*AdExp + +1*CF + -1*Tax,MKT_TRAILING_12M_UP,true,1,32,3.247,0.326,0.532,0.29911,false,1,1,false,-0.098
gpt-4-0613,+1*AM + -1*Accruals,MKT_TRAILING_12M_DOWN,false,1,32,-0.61,-0.066,-0.108,0.54258,false,2,0,false,-0.083
gpt-4-0613,+0.5*AssetGrowth + -1*Leverage,TERM_SPREAD_NEGATIVE,false,1,32,3.004,0.2,0.326,0.37321,false,2,1,false,0.795
gpt-4-0613,+1*OperProf + +1*RD,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,2.095,0.296,0.484,0.31593,false,0,0,false,1.178
gpt-4-0613,-1*IdioVol3F + +1*ShortInterest,VIX_BELOW_TRAILING_MEDIAN,true,1,32,14.656,0.557,0.91,0.18495,false,2,2,false,0.813
gpt-4-0613,+1*EarningsConsistency + +1*Mom6m,MKT_TRAILING_12M_UP,false,1,32,21.742,1.07,1.747,0.04527,false,1,1,false,0.991
gpt-4-0613,+1*AOP + -1*BM,TERM_SPREAD_POSITIVE,false,1,32,0.973,0.078,0.128,0.44942,false,2,1,false,-0.349
gpt-4-0613,+1*InvGrowth + +1*RD,MKT_TRAILING_12M_UP,true,1,32,-7.112,-0.764,-1.247,0.88922,false,1,1,false,-0.531
gpt-4-0613,+1*BM + +1*Cash,MKT_TRAILING_12M_DOWN,false,1,32,6.627,0.504,0.823,0.20837,false,2,0,false,2.597
gpt-4-0613,+1*ShareIss1Y + +1*ShortInterest,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,2.147,0.398,0.65,0.26028,false,1,1,false,0.932
gpt-4-0613,+1*AdExp + +1*FirmAge,TERM_SPREAD_POSITIVE,true,1,32,-3.593,-1.058,-1.727,0.95295,false,2,2,false,-0.873
gpt-4-0613,+1*AssetGrowth + -1*EarningsConsistency,MKT_TRAILING_12M_UP,false,1,32,-10.868,-1.051,-1.716,0.95194,false,2,1,false,-1.05
gpt-4-0613,+1*BookLeverage + +1*Leverage,VIX_ABOVE_TRAILING_MEDIAN,false,1,32,-0.552,-0.073,-0.119,0.54714,false,1,1,false,0.406
gpt-4-0613,+1*DolVol + +1*ShareVol,VIX_BELOW_TRAILING_MEDIAN,false,1,32,-6.915,-0.44,-0.719,0.7613,false,2,1,false,-0.175
gpt-4-0613,+1*AdExp + +1*RD,MKT_TRAILING_12M_UP,true,1,32,-8.773,-0.892,-1.457,0.92242,false,1,1,false,-0.942
gpt-4-0613,+1*AssetGrowth + -1*Leverage,MKT_TRAILING_12M_DOWN,true,1,32,4.322,0.199,0.326,0.3734,false,2,1,false,1.756
gpt-4-0613,-0.5*IdioVolAHT + -0.5*STreversal,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-2.168,-0.233,-0.38,0.64668,false,2,1,false,-0.678
gpt-4-0613,-1*Illiquidity + +1*OperProf,VIX_BELOW_TRAILING_MEDIAN,true,1,32,3.526,0.245,0.4,0.34585,false,2,1,false,0.128
gpt-4-0613,-1*ChNNCOA + +1*GrSaleToGrInv,TERM_SPREAD_POSITIVE,true,1,32,-0.558,-0.086,-0.14,0.5553,false,2,1,false,0.079
gpt-4-0613,+1*EarningsConsistency + -1*ShortInterest,TERM_SPREAD_NEGATIVE,true,1,32,3.543,0.156,0.255,0.40036,false,2,0,false,-0.517
gpt-4-0613,-0.5*ChTax + -0.5*IntanSP,MKT_TRAILING_12M_UP,true,1,32,-4.377,-0.571,-0.932,0.82064,false,1,0,false,-0.977
gpt-4-0613,-1*BookLeverage + +1*TotalAccruals,MKT_TRAILING_12M_DOWN,true,1,32,2.248,0.097,0.158,0.43781,false,2,1,false,0.292
gpt-4-0613,+1*AssetGrowth + +1*IdioVol3F,MKT_TRAILING_12M_UP,true,1,32,-3.268,-0.484,-0.79,0.78219,false,1,0,false,-1.35
gpt-4-0613,-1*BM + +1*RD,MKT_TRAILING_12M_UP,true,1,32,-5.129,-0.692,-1.131,0.86655,false,1,0,false,-0.487
gpt-4-0613,+1*PayoutYield + +1*STreversal,MKT_TRAILING_12M_UP,false,1,32,2.229,0.128,0.209,0.41791,false,1,1,false,-0.497
gpt-4-0613,+1*IO_ShortInterest + -1*Illiquidity,MKT_TRAILING_12M_DOWN,false,1,32,21.649,0.386,0.63,0.2667,false,1,1,false,1.268
gpt-4-0613,+1*CustomerMomentum + -1*FirmAge,NONE,true,1,32,-1.526,-0.173,-0.282,0.61022,false,1,0,false,-0.078
gpt-4-0613,+1*AssetGrowth + -1*Cash,MKT_TRAILING_12M_UP,false,1,32,-3.788,-0.18,-0.294,0.61454,false,1,0,false,-0.742
gpt-4-0613,+1*EarningsSurprise + -1*Price,MKT_TRAILING_12M_UP,true,1,32,5.009,0.505,0.825,0.20784,false,1,0,false,0.316
gpt-4-0613,+1*BM + -1*IdioVolAHT,NONE,false,1,32,-4.907,-0.186,-0.304,0.61827,false,1,0,false,0.502
gpt-4-0613,-0.5*RealizedVol + +0.5*iomom_cust + +1*roaq,MKT_TRAILING_12M_UP,true,1,32,15.985,1.455,2.376,0.01193,false,2,1,false,1.258
gpt-4-0613,+0.5*GrAdExp + +0.5*RDAbility,MKT_TRAILING_12M_UP,false,1,32,0.718,0.137,0.223,0.41235,false,2,0,false,-0.532
gpt-4-0613,+0.5*EquityDuration + -0.5*IdioVolAHT,MKT_TRAILING_12M_DOWN,true,1,32,-11.781,-1.111,-1.815,0.96039,false,1,0,false,-1.76
gpt-4-0613,+0.5*CashProd + +0.5*iomom_cust,NONE,true,1,32,3.941,0.382,0.624,0.26861,false,2,0,false,0.448
gpt-4-0613,-0.5*Beta + +0.5*RDAbility,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-1.995,-0.287,-0.469,0.67896,false,1,0,false,0.066
gpt-4-0613,+0.5*ConsRecomm + -0.5*IdioVol3F,MKT_TRAILING_12M_DOWN,false,1,32,1.143,0.137,0.223,0.4124,false,2,0,false,1.192
gpt-4-0613,+0.5*BM + -0.5*RealizedVol,VIX_ABOVE_TRAILING_MEDIAN,false,1,32,6.312,0.599,0.978,0.16779,false,2,2,false,1.401
gpt-4-0613,+1*EarningsConsistency + +1*GrLTNOA + -1*tang,MKT_TRAILING_12M_UP,true,1,32,-0.24,-0.03,-0.049,0.51948,false,1,0,false,-0.422
gpt-4-0613,-1*BM + +1*EarningsSurprise,MKT_TRAILING_12M_DOWN,true,1,32,-1.553,-0.289,-0.472,0.67973,false,1,0,false,-1.453
gpt-4-0613,-1*IdioVol3F + +1*TotalAccruals,MKT_TRAILING_12M_UP,true,1,32,-0.211,-0.025,-0.041,0.51626,false,1,0,false,0.337
gpt-4-0613,+1*BidAskSpread + -1*BookLeverage,TERM_SPREAD_POSITIVE,true,1,32,-2.182,-0.587,-0.958,0.8273,false,1,0,false,-1.62
gpt-4-0613,+1*RoE + -1*tang,TERM_SPREAD_POSITIVE,true,1,32,0.552,0.112,0.183,0.42805,false,1,0,false,-0.719
gpt-4-0613,-1*IdioVolAHT + +1*IntanEP,MKT_TRAILING_12M_UP,true,1,32,1.351,0.145,0.237,0.40699,false,1,1,false,1.139
gpt-4-0613,-1*BM + +1*OrgCap,MKT_TRAILING_12M_DOWN,true,1,32,-3.183,-0.252,-0.412,0.65825,false,1,0,false,-0.689
gpt-4-0613,-0.5*BetaFP + -0.5*CF + +1*OPLeverage,VIX_BELOW_TRAILING_MEDIAN,false,1,32,-16.269,-1.136,-1.854,0.96339,false,2,1,false,-1.701
gpt-4-0613,+1*EarningsConsistency + -1*Leverage,TERM_SPREAD_POSITIVE,false,1,32,1.492,0.16,0.261,0.39809,false,2,0,false,-0.043
gpt-4-0613,-1*Beta + +1*RDcap,TERM_SPREAD_NEGATIVE,true,1,32,-3.674,-0.234,-0.382,0.64738,false,2,0,false,-0.321
gpt-4-0613,-1*BidAskSpread + +1*ShareVol,VIX_BELOW_TRAILING_MEDIAN,true,1,32,8.185,0.588,0.961,0.172,false,1,1,false,0.724
gpt-4-0613,-1*Beta + +1*EarningsSurprise,MKT_TRAILING_12M_UP,false,1,32,-1.938,-0.112,-0.183,0.57191,false,2,0,false,-0.718
gpt-4-0613,-1*Leverage + +1*RDAbility,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-0.426,-0.09,-0.146,0.55773,false,2,1,false,0.552
gpt-4-0613,-1*BidAskSpread + +1*CashProd,MKT_TRAILING_12M_DOWN,false,1,32,12.299,0.676,1.103,0.13922,false,2,2,false,1.527
gpt-4-0613,-0.5*AssetGrowth + +1*OperProf,TERM_SPREAD_POSITIVE,true,1,32,1.289,0.336,0.549,0.29334,false,2,1,false,-0.658
gpt-4-0613,+0.5*EquityDuration + +0.5*Mom12m,VIX_BELOW_TRAILING_MEDIAN,true,1,32,34.596,1.446,2.362,0.01232,false,1,1,true,1.571
gpt-4-0613,+0.5*AssetGrowth + +0.5*IdioVol3F,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-1.119,-0.162,-0.264,0.6034,false,1,0,false,-0.217
gpt-4-0613,-1*Investment + +1*OperProf,MKT_TRAILING_12M_UP,false,1,32,1.379,0.106,0.174,0.43156,false,2,0,false,-0.749
gpt-4-0613,+0.5*BM + +0.5*Mom6m,TERM_SPREAD_POSITIVE,true,1,32,2.326,0.457,0.746,0.23071,false,1,0,false,1.119
gpt-4-0613,+0.5*Illiquidity + +1*OperProf,MKT_TRAILING_12M_UP,false,1,32,1.498,0.138,0.225,0.41172,false,1,0,false,-0.314
gpt-4-0613,-0.5*IdioVol3F + +0.5*Mom12m,VIX_BELOW_TRAILING_MEDIAN,false,1,32,13.612,1.234,2.014,0.02636,false,1,1,true,1.78
gpt-4-0613,-1*AssetGrowth + +1*OperProf,MKT_TRAILING_12M_UP,true,1,32,3.301,0.427,0.698,0.24528,false,1,0,false,0.405
gpt-4-0613,+0.5*Mom12m + +0.5*ShareVol,TERM_SPREAD_POSITIVE,false,1,32,3.115,0.464,0.758,0.22719,false,1,1,false,0.87
gpt-4-0613,-1*EarningsSurprise + +1*InvestPPEInv,TERM_SPREAD_POSITIVE,true,1,32,-2.854,-0.83,-1.355,0.90737,false,1,0,false,-0.273
gpt-4-0613,-0.5*Cash + +1*IntanBM + +0.5*Leverage,MKT_TRAILING_12M_UP,true,1,32,-1.034,-0.141,-0.23,0.59004,false,1,1,false,-0.15
gpt-4-0613,+1*AnalystRevision + -1*fgr5yrLag,VIX_BELOW_TRAILING_MEDIAN,false,1,32,7.234,0.715,1.167,0.12605,false,1,0,false,0.923
gpt-4-0613,+1*Herf + -0.5*Mom6m,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-2.531,-0.292,-0.477,0.68159,false,1,0,false,0.147
gpt-4-0613,+1*FR + -1*betaVIX,MKT_TRAILING_12M_DOWN,false,1,32,-3.649,-0.23,-0.376,0.64534,false,1,0,false,-0.763
gpt-4-0613,-1*IO_ShortInterest + +1*hire,TERM_SPREAD_NEGATIVE,true,1,32,-27.978,-1.377,-2.249,0.9841,false,0,0,false,-2.994
gpt-4-0613,+1*AssetGrowth + -1*ChInv,VIX_BELOW_TRAILING_MEDIAN,false,1,32,-1.166,-0.121,-0.198,0.57774,false,1,0,false,-0.478
gpt-4-0613,-1*ChInv + +1*ChNNCOA,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,1.015,0.177,0.289,0.38737,false,0,0,false,-0.504
gpt-4-0613,+1*CustomerMomentum + -0.5*Herf + -0.5*IndMom,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-0.919,-0.136,-0.223,0.5874,false,2,1,false,0.551
gpt-4-0613,-0.5*BetaTailRisk + +1*Illiquidity,VIX_ABOVE_TRAILING_MEDIAN,false,1,32,-4.215,-0.65,-1.061,0.85154,false,2,1,false,-0.123
gpt-4-0613,+0.5*FirmAge + +1*Investment,NONE,false,1,32,3.009,0.2,0.326,0.37337,false,1,0,false,1.858
gpt-4-0613,-1*Tax + +0.5*XFIN,MKT_TRAILING_12M_DOWN,false,1,32,5.234,0.578,0.944,0.17618,false,1,1,false,0.684
gpt-4-0613,+1*AOP + +0.5*DolVol,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-7.907,-0.456,-0.745,0.76919,false,1,1,false,-0.053
gpt-4-0613,+1*AssetGrowth + +0.5*FirmAge + -0.5*Leverage,NONE,false,1,32,-1.375,-0.085,-0.139,0.5548,false,1,0,false,1.032
gpt-4-0613,+1*AssetGrowth + -1*CredRatDG,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,1.008,0.236,0.386,0.3512,false,2,2,false,1.579
gpt-4-0613,+0.5*IdioVol3F + +0.5*RD,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-14.533,-0.659,-1.076,0.85487,false,1,0,false,-0.69
gpt-4-0613,+1*AdExp + -1*sinAlgo,MKT_TRAILING_12M_UP,false,1,32,8.436,0.82,1.339,0.09509,false,1,1,false,0.925
gpt-4-0613,-1*CompEquIss + +0.5*FEPS,TERM_SPREAD_NEGATIVE,true,1,32,-3.778,-0.201,-0.328,0.62749,false,1,0,false,-1.005
gpt-4-0613,+1*OrgCap + -0.5*RealizedVol,NONE,false,1,32,14.938,0.735,1.2,0.11967,false,2,2,false,1.765
gpt-4-0613,+0.5*BidAskSpread + +1*CF,TERM_SPREAD_POSITIVE,true,1,32,-0.473,-0.257,-0.419,0.66112,false,1,0,false,-1.645
gpt-4-0613,+1*OrderBacklog + -0.5*ReturnSkew3F,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,0.77,0.173,0.283,0.38959,false,1,0,false,0.626
gpt-4-0613,+1*AdExp + -0.5*Leverage + -0.5*betaVIX,MKT_TRAILING_12M_DOWN,true,1,32,-14.658,-0.925,-1.51,0.92946,false,2,1,false,-1.346
gpt-4-0613,-1*IO_ShortInterest + -1*ShortInterest,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-2.276,-0.604,-0.987,0.83439,false,1,1,false,-1.289
gpt-4-0613,-1*AOP + -1*STreversal,NONE,false,1,32,-10.471,-0.364,-0.595,0.72191,false,2,0,false,-0.516
gpt-4-0613,+1*DivYieldST + +0.5*STreversal,NONE,false,1,32,7.708,0.517,0.845,0.2024,false,1,0,false,0.937
gpt-4-0613,+1*AssetGrowth + +0.5*std_turn,NONE,true,1,32,1.977,0.202,0.33,0.37168,false,2,0,false,1.028
gpt-4-0613,+0.5*AOP + +1*RD,NONE,true,1,32,-6.614,-0.674,-1.101,0.86035,false,1,1,false,-0.02
gpt-4-0613,+1*ConsRecomm + +1*IO_ShortInterest,MKT_TRAILING_12M_UP,true,1,32,8.235,1.071,1.75,0.04503,false,1,1,false,1.435
gpt-4-0613,-1*IntanEP + +1*RDAbility,VIX_BELOW_TRAILING_MEDIAN,false,1,32,-4.08,-0.27,-0.441,0.66894,false,2,1,false,-1.301
gpt-4-0613,-1*AbnormalAccruals + +1*OPLeverage,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,0.762,0.116,0.19,0.4254,false,2,2,false,1.198
gpt-4-0613,-0.5*Cash + +1*GrAdExp,MKT_TRAILING_12M_UP,false,1,32,4.662,0.358,0.585,0.28152,false,1,0,false,0.067
gpt-4-0613,-1*AssetGrowth + -1*ShareIss1Y,TERM_SPREAD_NEGATIVE,true,1,32,-34.494,-0.755,-1.233,0.8865,false,2,1,false,-1.043
gpt-4-0613,-0.5*IdioVol3F + +1*OperProf,MKT_TRAILING_12M_DOWN,false,1,32,7.782,0.873,1.426,0.08191,false,2,2,false,1.391
gpt-4-0613,+0.5*GrSaleToGrOverhead + +1*InvGrowth,TERM_SPREAD_POSITIVE,false,1,32,-1.286,-0.248,-0.405,0.65601,false,1,0,false,-0.26
gpt-4-0613,+1*STreversal + -0.5*tang,NONE,true,1,32,3.081,0.305,0.498,0.31115,false,1,0,false,0.055
gpt-4-0613,-1*DebtIssuance + -1*RDcap,MKT_TRAILING_12M_DOWN,false,1,32,1.09,0.081,0.133,0.44769,false,2,1,false,-0.515
gpt-4-0613,+0.5*AbnormalAccruals + +0.5*EarningsForecastDisparity,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-0.341,-0.047,-0.077,0.53047,false,2,0,false,-0.838
gpt-4-0613,+0.5*Cash + -0.5*tang,MKT_TRAILING_12M_DOWN,true,1,32,13.969,1.155,1.886,0.03435,false,1,0,false,2.49
gpt-4-0613,-0.5*DebtIssuance + -0.5*RD,TERM_SPREAD_POSITIVE,false,1,32,1.46,0.203,0.331,0.37136,false,1,0,false,-0.421
gpt-4-0613,+0.5*GP + +0.5*NetPayoutYield,MKT_TRAILING_12M_UP,true,1,32,8.857,1.448,2.364,0.01226,false,2,0,false,1.569
gpt-4-0613,+0.5*OperProf + +0.5*tang,VIX_BELOW_TRAILING_MEDIAN,false,1,32,6.07,0.973,1.59,0.06104,false,1,1,false,1.189
gpt-4-0613,+1*AOP + +1*ShortInterest,TERM_SPREAD_NEGATIVE,true,1,32,12.119,0.557,0.91,0.18494,false,2,1,false,1.378
gpt-4-0613,+1*AdExp + -1*BM,TERM_SPREAD_POSITIVE,false,1,32,-6.292,-0.712,-1.163,0.87305,false,1,0,false,-1.594
gpt-4-0613,+1*BidAskSpread + +1*VolMkt,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-3.804,-0.575,-0.938,0.82233,false,2,1,false,-0.704
gpt-4-0613,+1*IntanBM + +1*OrgCap,MKT_TRAILING_12M_UP,true,1,32,0.383,0.04,0.065,0.4741,false,1,0,false,0.516
gpt-4-0613,+1*IO_ShortInterest + +1*PayoutYield,TERM_SPREAD_POSITIVE,true,1,32,-0.678,-0.673,-1.099,0.85997,false,1,0,false,-1.787
gpt-4-0613,-1*BM + +1*Leverage,MKT_TRAILING_12M_DOWN,true,1,32,-2.303,-0.609,-0.994,0.83615,false,1,0,false,-2.624
gpt-4-0613,+1*AOP + +1*EarningsSurprise,VIX_BELOW_TRAILING_MEDIAN,true,1,32,4.514,0.215,0.351,0.36412,false,1,1,false,0.406
gpt-4-0613,-1*DebtIssuance + +1*EarningsConsistency,VIX_BELOW_TRAILING_MEDIAN,true,1,32,20.737,1.393,2.275,0.01499,false,1,1,true,1.337
gpt-4-0613,+1*IO_ShortInterest + +1*IdioVol3F,MKT_TRAILING_12M_DOWN,true,1,32,3.692,0.168,0.274,0.393,false,0,0,false,0.65
gpt-4-0613,-0.5*DebtIssuance + +1*RD,MKT_TRAILING_12M_UP,true,1,32,-7.228,-0.769,-1.256,0.89072,false,2,0,false,-0.626
gpt-4-0613,+1*OperProf + -0.5*ShareIss1Y,MKT_TRAILING_12M_UP,true,1,32,-6.086,-0.456,-0.745,0.76894,false,1,1,false,-0.782
gpt-4-0613,+1*Cash + -0.5*ShortInterest,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-0.383,-0.063,-0.103,0.54084,false,1,0,false,0.566
gpt-4-0613,-0.5*BidAskSpread + +1*EarningsConsistency,TERM_SPREAD_NEGATIVE,true,1,32,13.543,0.594,0.97,0.16989,false,2,1,false,0.217
gpt-4-0613,-0.5*AOP + +1*BM,MKT_TRAILING_12M_DOWN,true,1,32,1.104,0.143,0.234,0.40843,false,0,0,false,0.938
gpt-4-0613,+1*OrgCap + -0.5*XFIN,TERM_SPREAD_POSITIVE,true,1,32,-2.789,-0.498,-0.813,0.78882,false,2,0,false,-0.532
gpt-4-0613,+1*DivYieldST + -0.5*ShareIss5Y,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-15.424,-1.013,-1.654,0.94591,false,1,1,false,-0.957
gpt-4-0613,+1*AdExp + +0.5*RD,MKT_TRAILING_12M_UP,true,1,32,-8.017,-0.786,-1.284,0.89566,false,1,0,false,-0.973
gpt-4-0613,+1*GP + +1*Size,MKT_TRAILING_12M_DOWN,true,1,32,-0.522,-0.031,-0.05,0.51972,false,2,2,false,0.181
gpt-4-0613,-1*Illiquidity + +1*Leverage,TERM_SPREAD_NEGATIVE,true,1,32,-5.814,-0.329,-0.537,0.70258,false,2,0,false,-0.832
gpt-4-0613,-0.5*AgeIPO + +1*OrgCap,VIX_BELOW_TRAILING_MEDIAN,false,1,32,-6.946,-0.739,-1.207,0.88175,false,2,1,false,-1.573
gpt-4-0613,+1*AOP + -1*BidAskSpread,MKT_TRAILING_12M_UP,true,1,32,3.712,0.487,0.795,0.21639,false,1,0,false,0.477
gpt-4-0613,+1*CF + +1*GrSaleToGrInv,TERM_SPREAD_POSITIVE,true,1,32,1.114,0.779,1.272,0.10635,false,2,1,false,0.725
gpt-4-0613,-1*ShareIss1Y + +1*roaq,MKT_TRAILING_12M_DOWN,false,1,32,-3.605,-0.333,-0.543,0.70449,false,2,1,false,-2.423
gpt-4-0613,+1*AssetGrowth + -1*EarningsConsistency,MKT_TRAILING_12M_UP,true,1,32,-6.852,-1.011,-1.652,0.94566,false,2,1,false,-1.014
gpt-4-0613,-1*Leverage + +1*RD,TERM_SPREAD_POSITIVE,false,1,32,-4.793,-0.286,-0.467,0.67811,false,1,0,false,-0.043
gpt-4-0613,+1*BookLeverage + -1*CF,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,-0.78,-0.129,-0.211,0.58301,false,2,1,false,0.417
gpt-4-0613,+1*EarningsSurprise + -1*ShortInterest,MKT_TRAILING_12M_UP,false,1,32,-3.989,-0.264,-0.431,0.6653,false,1,0,false,-0.374
gpt-4-0613,+1*AdExp + -1*BM,TERM_SPREAD_NEGATIVE,true,1,32,-11.726,-0.429,-0.7,0.75557,false,2,1,false,-0.962
gpt-4-0613,+1*ChAssetTurnover + -1*EarningsForecastDisparity,VIX_BELOW_TRAILING_MEDIAN,false,1,32,-1.014,-0.187,-0.305,0.61874,false,1,0,false,0.037
gpt-4-0613,+1*Cash + -1*XFIN,TERM_SPREAD_POSITIVE,true,1,32,-1.322,-0.29,-0.474,0.68054,false,2,0,false,0.064
gpt-4-0613,-1*BidAskSpread + +1*FEPS,MKT_TRAILING_12M_UP,false,1,32,19.47,0.628,1.026,0.15634,false,1,0,false,0.318
gpt-4o-2024-08-06,-0.5*Leverage + +1*Mom12m + +0.5*Mom6m,MKT_TRAILING_12M_UP,true,1,11,13.629,0.636,0.609,0.27818,false,0,0,false,
gpt-4o-2024-08-06,+0.5*AOP + +1*AnalystRevision + +1*EarningsSurprise,TERM_SPREAD_POSITIVE,true,1,11,0.0,0.0,0.0,0.5,false,1,0,false,
gpt-4o-2024-08-06,-0.5*Accruals + +1*BM + +1*OperProf,VIX_BELOW_TRAILING_MEDIAN,false,1,11,9.594,0.698,0.668,0.25964,false,0,0,false,
gpt-4o-2024-08-06,+1*GrAdExp + -0.5*IdioVol3F + +0.5*RDcap,VIX_ABOVE_TRAILING_MEDIAN,true,1,11,11.984,1.044,1.0,0.17045,false,1,0,false,
gpt-4o-2024-08-06,+1*BM + +0.5*CF + -1*Illiquidity,MKT_TRAILING_12M_DOWN,true,1,11,0.0,0.0,0.0,0.5,false,1,0,false,
gpt-4o-2024-08-06,-0.5*Beta + +0.5*DivSeason + +1*IndRetBig,VIX_BELOW_TRAILING_MEDIAN,false,1,11,2.884,0.206,0.197,0.42379,false,0,0,false,
gpt-4o-2024-08-06,+1*EarningsForecastDisparity + -1*RealizedVol + +0.5*VolumeTrend,MKT_TRAILING_12M_UP,true,1,11,21.919,1.761,1.686,0.06139,false,0,0,false,
gpt-4o-2024-08-06,+0.5*EarningsSurprise + +0.5*Mom12m,MKT_TRAILING_12M_UP,true,3,11,20.196,1.132,1.084,0.15192,false,1,1,false,
gpt-4o-2024-08-06,+1*EP + -0.5*RealizedVol,VIX_ABOVE_TRAILING_MEDIAN,true,1,11,5.52,1.044,1.0,0.17045,false,0,0,false,
gpt-4o-2024-08-06,+1*AnalystRevision + -0.5*ChForecastAccrual,TERM_SPREAD_POSITIVE,false,1,11,0.0,0.0,0.0,0.5,false,0,0,false,
gpt-4o-2024-08-06,-0.5*BetaTailRisk + +1*OperProf,VIX_ABOVE_TRAILING_MEDIAN,true,1,11,-3.664,-1.044,-1.0,0.82955,false,0,0,false,
gpt-4o-2024-08-06,+1*AssetGrowth + -0.5*BookLeverage,TERM_SPREAD_NEGATIVE,false,1,11,-7.135,-0.659,-0.631,0.72895,false,1,0,false,
gpt-4o-2024-08-06,+0.5*Illiquidity + +1*Mom6m,MKT_TRAILING_12M_DOWN,true,1,11,0.0,0.0,0.0,0.5,false,0,0,false,
gpt-4o-2024-08-06,+1*DebtIssuance + +0.5*GrSaleToGrInv,TERM_SPREAD_POSITIVE,false,1,11,0.0,0.0,0.0,0.5,false,0,0,false,
gpt-4o-2024-08-06,+0.5*IntanBM + +0.5*Mom12m,MKT_TRAILING_12M_UP,true,3,11,6.836,0.459,0.439,0.33484,false,1,0,false,
